Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7, C9",0603,4,10nF,
"C10, C4",0603,2,1uF,
"C11, C15, C2, C5, C8",0603,5,1nF,
"C12, C6",0603,2,100nF,
"C13, C14",0603,2,8pF,
D1,0603,1,"LED_+3,3",
"H1, H2",MountingHole_3.2mm_M3_Pad,2,MountingHole_Pad,
"Laser out, Ref in",SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,2,Conn_Coaxial,
R1,0603,1,50R,
"R2, R4",0603,2,1K,
R3,0603,1,620R,
"R5, R6",0603,2,10K,
R7,0603,1,1R,
"U1, U3, U4",Analog_Devices-ADCMP606BKSZ-RL-Level_C,3,ADCMP606BKSZ-RL,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U5,SOT-23-5,1,74AUC1G86,
VCC/GND,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
